Ano,País,País 1,Pais 2,Título US,Título Original,Diretor,Watchedby,Listado (qtd),Liked,Ranking,Fans,Rating,Duração,Sinopse,Gênero,Gênero 1,Gênero 2,Gênero 3,Temas,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5
1999,['Brazil'],Brazil,--,Castelo Rá-Tim-Bum: O Filme,Castelo Rá-Tim-Bum: O Filme,Cao Hamburger,4k,240,234, ,0,3.1,108,"A young wizard must create new spells in his magic book before the planets align. His uncle and aunt, powerful mages themselves, help him achieve that. Based on the award-winning Brazilian TV series.","['comedy', 'adventure', 'fantasy', 'family']",comedy,adventure,fantasy,--,-,-,--,--,--
2010,['Brazil'],Brazil,--,Muita Calma Nessa Hora,Muita Calma Nessa Hora,Felipe Joffily,3.8k,210,176, ,0,2.6,92,"Three young friends, Tita, Mari and Aninha decide to change their situations and travel to a beach place for a weekend. On the road, they meet Estrella, a hippie that wants a hide to try to find her unknown father. Together, they will live hilarious, absurd and moving situations. More than a change the air, they change themselves.",['comedy'],comedy,--,--,--,-,-,--,--,--
2017,['Brazil'],Brazil,--,The Killer,‘O Matador’,Marcelo Galvão,1.5k,495,151, ,1,2.6,99,"In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself.","['action', 'western']",action,western,--,--,-,-,--,--,--
2013,['Brazil'],Brazil,--,Vai Que Dá Certo,Vai Que Dá Certo,Maurício Farias,3.1k,216,185, ,1,2.6,87,5 friends have a plan to rob a transporter that can change their lives.,['comedy'],comedy,--,--,--,-,-,--,--,--
2011,['Brazil'],Brazil,--,Xingu,Xingu,Cao Hamburger,1.9k,384,166, ,0,3.3,102,"In the ’40s, three brothers decide to live a great adventure and enlisting in the Roncador-Xingu Expedition, which has a mission to tame the Central Brazil. The Villas Boas brothers: Orlando, 27, Claudius, 25, and Leonardo, 23, engage in a fantastic and incredible saga. Soon start to lead the expedition that opens new paths 1,500 km, navigates over 1,000 miles of unspoilt rivers, opens 19 airfields for airplanes Army, gives rise to the creation of 43 towns and 14 make contact with wild Indian tribes, unknown, as the Xavante, courageous and feared warriors, no casualties on both sides. This adventure allows the Villas Boas brothers the creation of the Xingu National Park, the first major Amerindian reservation in Brazil, the size of Belgium, transforming them into true contemporary heroes. ×","['history', 'drama']",history,drama,--,--,-,-,--,--,--
1964,['Brazil'],Brazil,--,Maioria Absoluta,Maioria Absoluta,Leon Hirszman,1.2k,404,313, ,0, ,20,"Statistics, interviews and historical information on illiteracy and inequality in land distribution in Brazil’s countryside.",['documentary'],documentary,--,--,--,-,-,--,--,--
2015,['Brazil'],Brazil,--,De Onde Eu Te Vejo,De Onde Eu Te Vejo,Luiz Villaça,1.3k,296,337, ,27,3.8,113,"After 20 years of marriage, Ana Lúcia and her husband Fábio decide to get a divorce. Fábio, however, decides to move to an apartment across the street, in front of the window of his former apartment - where Lúcia still lives. Both will have to learn how to deal with job crisis, problems with their daughter and this whole new situation.","['comedy', 'romance', 'drama']",comedy,romance,drama,--,-,-,--,--,--
1982,['Brazil'],Brazil,--,Heart and Guts,‘Das Tripas Coração’,Ana Carolina,592,471,196, ,9,3.9,100,"Financial problems in a religious school for girls force the government to interfere. While waiting in the conference hall to communicate the fact to the school administrators, the intervenor falls asleep and a crazy dream begins, involving teachers, students and strange characters.","['comedy', 'drama']",comedy,drama,--,--,-,-,--,--,--
1998,['Brazil'],Brazil,--,Cinderella Baiana,‘Cinderela Baiana’,Conrado Sanchez,1.2k,454,183, ,12,2.2,90,"A poor family, lives in a city near Salvador. The father is cleaner and, mother and daughter help making small services. Until they decide to try the luck in the big city and the father, Raimundo, get a job near Pelourinho, next to a dance academy. The daughter, Carla, in contacting music, discovers her true vocation and becomes a very successful dancer. But she does not let himself take away from fame and back to his origins, meets with poor children and teaches them to dance. ×","['comedy', 'drama', 'romance', 'family', 'music']",comedy,drama,romance,--,-,-,--,--,--
1972,['Brazil'],Brazil,--,The Conspirators,‘Os Inconfidentes’,Joaquim Pedro de Andrade,700,494,154, ,0,3.7,78,"The real story of the failed attempt of an independence coup by a group of intellectuals and rich men during Brazil’s colonial days, from its beginning to the execution of Tiradentes.","['drama', 'history']",drama,history,--,--,-,-,--,--,--
2009,['Brazil'],Brazil,--,Os Normais 2,‘Os Normais 2 - A Noite Mais Maluca de Todas’,José Alvarenga Jr.,3.3k,270,154, ,1,2.9,75,"After thirteen years of engagement, the boring sex life of Rui and Vani is limited to one intercourse every other week. They decide to seek excitement with a threesome and they decide to invite Vani’s cousin Silvinha to participate late night, but an accident interrupts their game. Rui and Vani unsuccessfully spend the night searching for for companion of a bisexual woman.",['comedy'],comedy,--,--,--,-,-,--,--,--
1971,['Brazil'],Brazil,--,The Murdered House,‘A Casa Assassinada’,Paulo César Saraceni,423,357,149, ,3,4.0,103,"Newly wed arrives at her husband’s family house, in the country. The heavy atmosphere of the house frightens her, and she takes refuge in her homosexual son-in-law’s room, who is kept locked and hidden from society. A tragedy occurs, causing her departure. She’s only to return seventeen years later, and sick.",['drama'],drama,--,--,--,-,-,--,--,--
2007,['Brazil'],Brazil,--,The Man Who Challenged the Devil,‘O Homem Que Desafiou o Diabo’,Moacyr Góes,2.2k,291,257, ,2,3.2,106,"After being forced into a marriage and enduring a humiliating work routine in the hands of his father-in-law, Zé Araújo becomes the mythical Ojuara, an unconventional hero devoted to debauchery.","['comedy', 'drama']",comedy,drama,--,--,-,-,--,--,--
2018,"['Brazil', 'UK']",Brazil,UK,"Now, at Last!","Now, at Last!",Ben Rivers,1.2k,228,293, ,2,3.2,38,"A film of a sloth, using three-colour separation to show sloth time.",['documentary'],documentary,--,--,--,-,-,--,--,--
2011,['Brazil'],Brazil,--,The Silver Cliff,‘O Abismo Prateado’,Karim Aïnouz,1.3k,346,163, ,2,3.2,83,"Violeta is a married dentist on a normal working day. While listening to a message left on the cell she enters in despair. The message of her husband, Djalma, says he is leaving her and going to another city.",['drama'],drama,--,--,--,-,-,--,--,--
2008,['Brazil'],Brazil,--,That’s It,‘Apenas o Fim’,Matheus Souza,2.4k,313,244, ,8,3.2,80,"Girl is decided to leave her boyfriend and to runaway to an unknown place. Before she leaves, she decides to meet up with him, but they have only one hour to make a very funny balance of their lives.","['romance', 'comedy']",romance,comedy,--,--,-,-,--,--,--
2003,['Brazil'],Brazil,--,Xuxa Abracadabra,Xuxa Abracadabra,Moacyr Góes,3.5k,245,245, ,5,3.0,87,"Sofia goes to her cousin Matheus’s house to take care of his two children, Júlia and Lucas, while he goes to a party. She finds a magical book, which transports them to the Magic Forest, where they meet fairytale characters such as Pinocchio and Little Red Riding Hood. But their presence starts interfering with the original stories, and so Matheus tries to bring them back to the real world.","['adventure', 'fantasy', 'family']",adventure,fantasy,family,--,-,-,--,--,--
2018,['Brazil'],Brazil,--,The Awakener,‘O Doutrinador’,Gustavo Bonafé,1.5k,286,141, ,1,2.4,108,"Miguel is a federal agent, highly trained and skilled in weapons. After experiencing trauma in his personal life, he sets out on a journey of revenge, assuming the identity of a masked vigilante. The Awakener decides to do justice with his own hands by exterminating corrupt politicians.","['drama', 'crime', 'action', 'thriller']",drama,crime,action,--,-,-,--,--,--
2013,['Brazil'],Brazil,--,Bald Mountain,‘Serra Pelada’,Heitor Dhalia,1.8k,312,155, ,1,3.3,120,"In 1980, best friends Juliano and Joaquin join the gold rush at Serra Pelada, Bald Mountain, a mountain town near the mighty Amazon river. As the town grows in numbers, it also sees an explosion in violent crime and pollution. Soon the friends’ dreams of hitting the jack pot are shattered. Winner of the 2014 Cinema Brazil Grand Prize.","['drama', 'western']",drama,western,--,--,-,-,--,--,--
